(0.1925760252981109,5.855063761322219e-12) (-0.025445391683698262,-1.7607643721876957e-12) (0.042314193086552834,1.1646354237335774e-13) (0.25368553474507183,1.9628396130677572e-15) 
(0.19257602529810866,5.855063761322217e-12) (0.0199292652913567,-3.811974747724679e-13) (0.04188095753279151,-5.1765747693634115e-14) (0.2569452216288484,3.0852057020247514e-15) 
(0.10734085024387997,-8.824495669967173e-12) (0.06530392226641181,9.983694226427596e-13) (0.048575156429629625,-3.293176257858849e-15) (0.2604507759681626,-4.952635523913784e-16) 
(-0.025465396506659656,8.54451583056221e-12) (0.0905955142581306,-1.0808533849875267e-12) (0.06081946954173693,-9.771451511391293e-15) (0.2647206910085407,1.1293049828609014e-15) 
(0.12208322297265668,-5.384340543279968e-12) (0.08459537156417518,9.324007271456673e-13) (0.07457892953861801,-2.143089599343791e-14) (0.270043942356226,-2.1658022597570437e-15) 
(0.07847152687333754,1.6798154924786153e-12) (0.11336055329548624,-3.3625462499388425e-13) (0.09012635152046004,2.5390309381217876e-14) (0.2764823306014034,-7.060324547225605e-16) 
(-0.2640987736160375,-6.277451035167203e-13) (0.1318499712210785,5.954257579790123e-14) (0.10938514108056367,3.657395858370926e-15) (0.28429811992379106,2.7755575615628914e-17) 
(-0.5922904503924223,5.661975903947656e-13) (0.06962316369501273,-8.83663796172306e-14) (0.12520880409426607,1.3935796001879618e-15) (0.29357457698024647,3.7816971776294395e-16) 
(-0.5608687042330719,-8.027562287639036e-13) (-0.06993198588580334,4.5040784667602294e-14) (0.1251845492561197,-2.0092046699660245e-15) (0.303550975360006,2.1684043449710089e-16) 
(-0.20014016411555482,1.835602772637468e-12) (-0.20208356094933208,-1.4410419565050704e-13) (0.10382049816613292,-9.789626774552038e-15) (0.3126798454350962,-5.204170427930421e-17) 
(0.1551511748929196,-1.4265014976736568e-12) (-0.2492404761448584,2.8839951825651233e-13) (0.06837359118304302,1.5433013616078453e-15) (0.319490372771416,-8.205242041370298e-16) 
(0.32241987344393713,-1.7726848084421353e-12) (-0.21268384180190178,-4.771197865046791e-14) (0.03209414008864253,2.0446856517531662e-14) (0.3233981480692405,3.885780586188048e-16) 
(0.3270861219773285,5.419987468166878e-12) (-0.1367154488681902,-4.65390996500371e-13) (0.004652383970176405,-1.9852156914191878e-14) (0.3247630788211296,8.413408858487514e-16) 
(0.18813510770331462,-7.070672059783687e-12) (-0.059647597026053975,8.116634644402628e-13) (-0.0107699335902704,7.344019121317362e-15) (0.32444361099997765,-9.62771529167128e-16) 
(-0.014213389689515993,6.6137582175072826e-12) (-0.015319306607824651,-8.543243904816651e-13) (-0.016657820433234573,3.9934378251421804e-15) (0.32332095242127246,1.19522447494802e-15) 
(-0.10713540752388037,-4.979447656307167e-12) (-0.018668257655164076,7.040056766738352e-13) (-0.019327197488284983,-7.812566349751448e-15) (0.3219112670742944,-5.568462357885551e-16) 
(-0.032811383186586836,3.063403121053853e-12) (-0.04391144334639183,-4.692490365253777e-13) (-0.024242195711543336,1.0625177052043961e-14) (0.32022625311438213,7.598088824778415e-16) 
(0.09613889288812588,-2.1216244280780297e-12) (-0.05164244337437432,2.525483189811365e-13) (-0.031746980425141125,-6.394457504571705e-15) (0.31803551142481074,1.8388068845354155e-16) 
(0.11362720292084516,2.250647896157731e-12) (-0.02899025040275497,-2.4734765978835596e-13) (-0.03807985738537572,-5.985998686725113e-15) (0.3152701295637568,2.1163626406917047e-16) 
(-0.018000057405465057,-1.921781295701662e-12) (-0.0022174714569484174,2.8294875744062785e-13) (-0.040530906128618684,-3.189895015622358e-15) (0.31215556743930356,-6.938893903907228e-16) 
(-0.15935883480603766,1.8092893609866053e-12) (-0.006458635065139218,-1.698602925880682e-13) (-0.041212325941407474,5.6920522440413615e-15) (0.30894987849396893,-1.3010426069826053e-16) 
(-0.15927458002074615,-3.0756860717375758e-12) (-0.044006675918485505,2.564434697639586e-13) (-0.04517586219758943,1.2492279077547374e-14) (0.3055960248110033,1.457167719820518e-16) 
(-0.026233808447783363,3.94625539775691e-12) (-0.08153486470574334,-4.682479878149849e-13) (-0.05503587174122504,-4.142808870108445e-15) (0.3016993013443094,1.218643241873707e-15) 
(0.10963152491206449,-3.2761404648405565e-12) (-0.08771606019788591,4.615665346936783e-13) (-0.06832880829848804,-4.6675689711384845e-15) (0.29686113647464346,-8.326672684688674e-17) 
(0.1443537205122944,2.2082849771921397e-12) (-0.06188474070296539,-3.1035587654167225e-13) (-0.08007842772551974,7.208488348732003e-15) (0.2910066411833431,8.101158632811689e-16) 
(0.0971427432413446,-1.1904094386513757e-12) (-0.027872196611982744,2.0995901306179092e-13) (-0.0871279210974537,-6.766628700642831e-16) (0.2844054954743481,5.316927453868914e-16) 
(0.06616384780249038,3.6163131075159845e-14) (-0.004983476973240342,-7.052460298054243e-14) (-0.08970839966655572,1.0274490089157643e-14) (0.2774376178751722,1.1969591984239969e-15) 
(0.11632561870303405,7.888460222813682e-13) (0.010606012390975281,-6.200386596180295e-14) (-0.08926680676748312,-1.3427152136173824e-16) (0.27039325065248604,1.58640461878079e-15) 
(0.20600773207210327,-2.9382169677419577e-12) (0.03801459057660603,1.2386359916914776e-13) (-0.08544815354008164,4.72418056356874e-15) (0.2635040318903167,1.575562597055935e-15) 
(0.21767898433662952,6.404077304430912e-12) (0.08655401890113656,-5.684374638691823e-13) (-0.07566455783000224,-3.0192569119422724e-14) (0.25712724791029157,1.2871648191747909e-15) 
(0.07126017883646542,-7.29476932241313e-12) (0.1378434212535994,9.40487702077405e-13) (-0.05804042409314049,-9.718117413907673e-16) (0.2518239357450667,-1.4879590615191063e-15) 
(-0.16669419207247324,6.321065814047117e-12) (0.15463370532805917,-7.783018263919913e-13) (-0.0350693242878407,1.1766237147842297e-14) (0.24815026265750928,7.029966886396011e-16) 
(-0.2970895225278287,-6.018520555225959e-12) (0.11535731163723642,7.110642179281092e-13) (-0.013864279402005446,6.48540772796533e-15) (0.2462690239579412,-1.1145598333150986e-16) 
(-0.20842230555424612,5.697002837552665e-12) (0.04535724202984197,-7.070162792051682e-13) (-0.0012417878738690475,6.803332091819662e-15) (0.24574777602019654,1.8682971836270212e-15) 
(-0.03858416839154408,-5.1852264943935816e-12) (-0.003751106768168322,6.353083904400139e-13) (0.002025950348189401,1.1714076780935664e-15) (0.24582905750599368,8.014422459012849e-16) 
(0.18282698853050566,3.578695106486712e-12) (-0.012842287265449254,-5.86431819208932e-13) (0.0007227082283360666,5.010164605899183e-15) (0.24594634357120157,2.3002433291452462e-15) 
(0.29793190518068263,-9.782278577425508e-13) (0.0302353070379544,2.567783499892977e-13) (0.00208875280686217,-2.0880758322370604e-14) (0.24601246201138477,8.101158632811689e-16) 
(-0.0836915527075898,-5.824274158615726e-13) (0.10043385838187767,2.6288841132731774e-14) (0.012351485060203515,1.3512868801610374e-15) (0.24650735883353242,2.8015784137025435e-16) 
(-0.08369155270758884,-5.824274158615721e-13) (0.08071450084535106,-1.1094238568626857e-13) (0.026578843924156183,-5.297386961582143e-15) (0.24805642242963877,2.662800535624399e-16) 
(-0.13257526658484703,0.0227117765886098) (-0.00012327381623641366,-0.10033599812997776) (-0.027286175660765702,0.010479637703884567) (1.5830309974286032,-2.566802780421537) 
(-0.13257526658484928,0.0227117765886091) (-0.03136058508253624,-0.0949846618439215) (-0.029758912156341747,-0.0048608110578232345) (1.5808229566418948,-2.566587631237224) 
(-0.009043121570941986,0.10632347309731564) (-0.06259789634883632,-0.08963332555786566) (-0.03713839403152309,-0.019360673881372907) (1.5782280201444971,-2.5675443083486242) 
(0.10150881564588168,0.08880676684612142) (-0.0647286316707954,-0.06458144740886482) (-0.04713859615736236,-0.03147267382705536) (1.5749206610533955,-2.56956628467498) 
(-0.052995254522543875,0.1262110449952032) (-0.040811180457717526,-0.0436568459354018) (-0.055427673618466955,-0.039973689507241505) (1.5708683039140394,-2.5723934890458136) 
(-0.056023988942951915,0.0665964592538315) (-0.05329789312895381,-0.013919069053490649) (-0.06281898297386762,-0.044495691296061846) (1.566237605955174,-2.575741166799541) 
