(-7.971622860637739e-11,3.4088545964118136e-11)
(-7.972082897968981e-11,-3.4091007488689596e-11)
(3.7569857234863725e-11,-9.074668024915315e-11)
(7.408776501692566e-11,4.871170491149102e-12)
(3.917447562795906e-11,9.076437826178065e-11)
(-7.404059716494456e-11,4.329713466573245e-11)
(-7.103088437073971e-11,-4.3231927463642465e-11)
(3.5661155329262374e-11,-9.2434398021941e-11)
(7.219945490517061e-11,9.816338349236163e-13)
(3.964114926192505e-11,9.433843312194328e-11)
(-7.743605696010406e-11,3.622457002916774e-11)
(-7.468382965243063e-11,-3.176695948431088e-11)
(4.5242124289776654e-11,-9.343376670218648e-11)
(7.47354727106935e-11,1.3371664197153567e-13)
(4.1767428831294127e-11,8.729002069432148e-11)
(-7.936919574594823e-11,3.584408825608303e-11)
(-7.329359658101316e-11,-3.997207594725579e-11)
(3.592598277711925e-11,-9.6251688388167e-11)
(6.705344645251681e-11,3.998283965219676e-12)
(4.3056842478215165e-11,9.724809291702094e-11)
(-7.612213518078079e-11,3.147884209476761e-11)
(-7.825081241724828e-11,-3.4577592195026206e-11)
(4.456144218397623e-11,-9.257105288086975e-11)
(7.022914994668224e-11,-2.8991299937512963e-12)
(3.677244564341959e-11,9.30986655698375e-11)
(-8.13782293498032e-11,3.6639688153237577e-11)
(-7.462171193852897e-11,-3.045818999700171e-11)
(4.4812459929604626e-11,-9.476444261509991e-11)
(6.68220859018597e-11,3.455441385978357e-12)
(4.622052736680084e-11,9.987643087396739e-11)
(-7.192533650658602e-11,2.8735833951688986e-11)
(-7.894547185340844e-11,-4.019309506327124e-11)
(4.084801537137007e-11,-8.889770090385867e-11)
(7.549021204096882e-11,-1.5662807146056727e-12)
(3.6367786315719015e-11,9.235801518188512e-11)
(-7.826049116831506e-11,3.4923578697210736e-11)
(-7.423513159925372e-11,-3.2148122914429816e-11)
(4.886607460128025e-11,-9.794295060517921e-11)
(6.471736322966599e-11,-3.198386722230513e-12)
(3.877310784402343e-11,9.799308928229998e-11)
(-7.498954449931685e-11,3.2902000390941663e-11)
(-7.65797437847838e-11,-4.2900528896626615e-11)
(3.2042731924741286e-11,-8.870609670842657e-11)
(7.888848145619137e-11,8.016522179657158e-12)
(3.824493736535951e-11,8.766923980482753e-11)
(-8.16072880156974e-11,3.630267499955872e-11)
(-7.435407610973933e-11,-3.1906342753520474e-11)
(4.706279528667901e-11,-9.397942195039625e-11)
(6.960111663129493e-11,-4.143956098242232e-13)
(3.621900701992682e-11,9.544770759533e-11)
(-7.540783273357098e-11,4.036517391222878e-11)
(-6.550298972606169e-11,-4.300390990268414e-11)
(3.049547204873651e-11,-9.815601179205637e-11)
(7.633747961950785e-11,1.5197909391542968e-11)
(4.4887849276431087e-11,8.352516215743192e-11)
(-8.504046729077787e-11,3.456553631370117e-11)
(-7.13959556034245e-11,-3.4546265202152126e-11)
(4.279036662875475e-11,-9.437060455137014e-11)
(7.620494029822216e-11,1.4141839281630116e-12)
(3.283917903317625e-11,8.496032494278398e-11)
(-8.35476818602675e-11,4.2609317100335466e-11)
(-6.48619966800741e-11,-3.9476754174145794e-11)
(3.151129314037336e-11,-1.0173169048319947e-10)
(6.899825689964347e-11,1.8887483396299213e-11)
(4.7869090115846286e-11,8.828651561754958e-11)
(-8.358789362572221e-11,3.514621862693937e-11)
(-6.858305809283268e-11,-3.8888390683216375e-11)
(3.5292766832360833e-11,-9.4207043272782e-11)
(7.922992144750043e-11,9.209148702284209e-12)
(3.3465746809272904e-11,8.179828905594105e-11)
(-8.544093322239537e-11,4.6490050446466214e-11)
(-6.225075108039471e-11,-3.6002880802735086e-11)
(4.0258581200564144e-11,-9.989819476025644e-11)
(7.270447295323882e-11,1.1167191284319983e-11)
(4.289599232406675e-11,8.499873275927316e-11)
(-8.30509447780865e-11,3.778000084564582e-11)
(-6.638999187479806e-11,-4.4985878192840774e-11)
(2.905248362455738e-11,-9.481030081383806e-11)
(7.967605509472404e-11,1.5016413953213777e-11)
(3.766132701320287e-11,8.02819203756872e-11)
(-8.569835758919515e-11,4.251338272759835e-11)
(-6.518504408594539e-11,-4.048774480382505e-11)
(3.522444392903205e-11,-9.651242766988228e-11)
(7.661884248609e-11,1.297987118960216e-11)
(3.656137478345634e-11,8.002854974145233e-11)
(-8.668734854192888e-11,4.783439576554699e-11)
(-5.87569282591493e-11,-4.510509054149829e-11)
(2.8775763644991934e-11,-9.829977127201388e-11)
(7.505604016213077e-11,1.6852576145630904e-11)
(3.899893735036908e-11,8.501513057754202e-11)
(-8.444292655716666e-11,4.4451629314295425e-11)
(-5.879379747642938e-11,-4.099295490022358e-11)
(3.3104705344257865e-11,-9.949115732960826e-11)
(8.287131475371416e-11,1.8368441536366384e-11)
(3.946379184240315e-11,6.650147359248151e-11)
(-9.990682159550736e-11,4.8015368537255715e-11)
